"city_name","city_cod","state","state_cod"
"Gravatal","4206207","SC","42"
"Guaíra","4108809","PR","41"
"Guapimirim","3301850","RJ","33"
"Guarulhos","3518800","SP","35"
"Hortolândia","3519071","SP","35"
"Içara","4207007","SC","42"
"Igaracy","2502607","PB","25"
"Imbituba","4207304","SC","42"
"Ipatinga","3131307","MG","31"
"Iracemápolis","3521408","SP","35"
"Itabuna","2914802","BA","29"
"Itajaí","4208203","SC","42"
"Ivoti","4310801","RS","43"
"Jaboatão dos Guararapes","2607901","PE","26"
"Jaguariúna","3524709","SP","35"
"Jaguaruna","4208807","SC","42"
"Jaraguá do Sul","4208906","SC","42"
"Jataí","5211909","GO","52"
"Jequié","2918001","BA","29"
"Ji-Paraná","1100122","RO","11"
"João Pessoa","2507507","PB","25"
"Joinville","4209102","SC","42"
"Juazeiro","2918407","BA","29"
"Juazeiro do Norte","2307304","CE","23"
"Juiz de Fora","3136702","MG","31"
"Jundiaí","3525904","SP","35"
"Lagoa da Prata","3137205","MG","31"
"Laguna","4209409","SC","42"
"Lajeado","4311403","RS","43"
"Lauro de Freitas","2919207","BA","29"
"Linhares","3203205","ES","32"
"Londrina","4113700","PR","41"
"Macapá","1600303","AP","16"
"Maceió","2704302","AL","27"
"Manaus","1302603","AM","13"
"Marabá","1504208","PA","15"
"Mariana","3140001","MG","31"
"Maringá","4115200","PR","41"
"Mauá","3529401","SP","35"
"Mauriti","2308104","CE","23"
"Miguel Pereira","3302908","RJ","33"
"Mogi das Cruzes","3530607","SP","35"
"Mossoró","2408003","RN","24"
"Natal","2408102","RN","24"
"Navegantes","4211306","SC","42"
"Niterói","3303302","RJ","33"
"Nossa Senhora da Glória","2804508","SE","28"
"Nova Lima","3144805","MG","31"
"Nova Monte Verde","5108956","MT","51"
"Olinda","2609600","PE","26"
"Osasco","3534401","SP","35"
"Osório","4313508","RS","43"
"Palmas","1721000","TO","17"
"Paraí","4314001","RS","43"
"Paranavaí","4118402","PR","41"
"Parintins","1303403","AM","13"
"Parnamirim","2403251","RN","24"
"Pato Branco","4118501","PR","41"
"Patrocínio","3148103","MG","31"
"Pelotas","4314407","RS","43"
"Petrolina","2611101","PE","26"
"Petrópolis","3303906","RJ","33"
"Pinhais","4119152","PR","41"
"Poá","3539806","SP","35"
"Poços de Caldas","3151800","MG","31"
"Pomerode","4213203","SC","42"
"Ponta Grossa","4119905","PR","41"
"Ponta Porã","5006606","MS","50"
"Porto Alegre","4314902","RS","43"
"Porto Belo","4213500","SC","42"
"Porto Real do Colégio","2707503","AL","27"
"Porto Seguro","2925303","BA","29"
"Porto Velho","1100205","RO","11"
"Prado","2925501","BA","29"
"Propriá","2805703","SE","28"
"Rancho Queimado","4214300","SC","42"
"Recife","2611606","PE","26"
"Resende","3304201","RJ","33"
"Ribeirão Pires","3543303","SP","35"
"Rio Branco","1200401","AC","12"
"Rio Claro","3543907","SP","35"
"Rio de Janeiro","3304557","RJ","33"
"Rio Grande","4315602","RS","43"
"Rio Verde","5218805","GO","52"
"Salvador","2927408","BA","29"
"Sant'ana do Livramento","4317103","RS","43"
"Sant'Ana do Livramento","4317103","RS","43"
"Santa Maria","4316907","RS","43"
"Santa Teresa","3204609","ES","32"
"Santana de Parnaíba","3547304","SP","35"
"Santiago","4317400","RS","43"
"Santo André","3547809","SP","35"
"Santo Antônio da Patrulha","4317608","RS","43"
"São Bernardo do Campo","3548708","SP","35"
"São Caetano do Sul","3548807","SP","35"
"São Domingos","2928950","BA","29"
"São Gonçalo","3304904","RJ","33"
"São João del Rei","3162500","MG","31"
"São José","4216602","SC","42"
"São José do Rio Preto","3549805","SP","35"
"São José dos Campos","3549904","SP","35"
"São Leopoldo","4318705","RS","43"
"São Ludgero","4217006","SC","42"
"São Luís","2111300","MA","21"
"São Paulo","3550308","SP","35"
"São Pedro de Alcântara","4217253","SC","42"
"São Sebastião","3550704","SP","35"
"Sapiranga","4319901","RS","43"
"Serafina Corrêa","4320404","RS","43"
"Serra","3205002","ES","32"
"Sete Lagoas","3167202","MG","31"
"Sidrolândia","5007901","MS","50"
"Sobral","2312908","CE","23"
"Suzano","3552502","SP","35"
"Taboão da Serra","3552809","SP","35"
"Taquara","4321204","RS","43"
"Taubaté","3554102","SP","35"
"Teixeira de Freitas","2931350","BA","29"
"Telêmaco Borba","4127106","PR","41"
"Teresina","2211001","PI","22"
"Tijucas","4218004","SC","42"
"Timóteo","3168705","MG","31"
"Torres","4321501","RS","43"
"Tubarão","4218707","SC","42"
"Uberaba","3170107","MG","31"
"Uberlândia","3170206","MG","31"
"Umuarama","4128104","PR","41"
"Valença","3306107","RJ","33"
"Valinhos","3556206","SP","35"
"Valparaíso de Goiás","5221858","GO","52"
"Vargem Grande Paulista","3556453","SP","35"
"Várzea Grande","5108402","MT","51"
"Viamão","4323002","RS","43"
"Vila Velha","3205200","ES","32"
"Vitória","3205309","ES","32"
"Volta Redonda","3306305","RJ","33"
